37986:Miguel Vieira:85:Beja:464877758:1:-1
39619:Fabio Silva:89:Santarem:433542854:0:-1
60722:Diogo Costa:82:Braga:467130677:0:-1
60808:Joao Cruz:82:Santarem:417784432:0:-1
60811:David Garcia:85:Setubal:419189185:0:-1
65167:Rafael Chaco:79:Evora:420179148:0:-1
65872:Vitor Pereira:71:Lisboa:432287257:0:-1
69320:Miguel Lemos:71:Lisboa:416545460:0:-1
69383:Goncalo Sequeira:76:Beja:460121451:0:-1
69479:Luis Pina:65:Setubal:427385917:0:-1
73090:Joao Frade:87:Evora:418206414:0:-1
74480:Ruben Simoes:90:Beja:434213841:0:-1
75815:Marcos Bernardino:80:Santarem:427714182:0:-1
78031:Pedro Rodrigues:76:Santarem:461204835:0:-1
78105:Andre Silva:86:Braganca:428587578:0:-1
79383:Rosaria Daniel:70:Braga:439325024:0:-1
80406:Joao Lopes:79:Evora:412941450:0:-1
81807:Joaquina Policarpo:90:Setubal:418326825:0:-1
82301:Maria Raimundo:69:Braga:465775438:0:-1
82337:Antonio Ribeiro:81:Porto:415841326:0:-1
82569:Diogo Castelo:67:Leiria:427749103:0:-1
82641:Guilherme Perez:66:Braganca:420509754:0:-1
82665:Daniel Barroso:81:Santarem:425836615:0:-1
82693:Bruno Antunes:70:LocalidadeSemEnfermeiro:469265503:0:-1
82761:Andre Teixeira:85:Leiria:436868705:0:-1
82782:Joao Henrique:68:LocalidadeSemEnfermeiro:429391016:0:-1
83004:Joao Felix:67:Setubal:436579827:0:-1
83690:Sara Lanca:68:Evora:463198411:0:-1
83708:Jose Cruz:85:Evora:433410708:0:-1
83876:Gaspar Teixeira:70:Leiria:427043370:0:-1
87187:Luis Cabral:85:Lisboa:437048348:0:-1
87292:Joao Costa:72:Braganca:422575335:0:-1
87304:Vasco Faustino:82:Lisboa:417668991:0:-1
87400:Andre Oliveira:86:Faro:430291867:0:-1
87562:David Ribeiro:79:Braga:426406532:0:-1
87873:Joao Campos:85:Braga:426175808:0:-1
88078:Goncalo Goncalves:75:LocalidadeSemEnfermeiro:427175451:0:-1
88080:Francisco Alves:72:Setubal:429981082:0:-1
88117:Filipe Rebelo:84:Setubal:422774304:0:-1
88125:Joao Vasconcelos:84:Beja:421737061:0:-1
88219:Bernardo Paulo:76:Setubal:435252047:0:-1
88238:Guilherme Sa:68:Braganca:467350161:0:-1
88632:Antonio Vieira:83:Setubal:415476257:0:-1
88728:Goncalo Cruz:80:Braga:410989149:0:-1
90250:Tania Barbosa:69:Faro:428024555:0:-1
90253:Venilson Ungo:80:Evora:432436998:0:-1
90258:Guilherme Ribeiro:79:Faro:421027452:0:-1
90291:Diogo Jorge:68:Porto:422745917:0:-1
90323:Aires Oliveira:83:Santarem:419495151:0:-1
92257:Joao Pereira:71:Santarem:439731198:0:-1
92349:Joao Correia:81:Evora:417029764:0:-1
92445:Eduardo Silva:88:Braganca:428404030:0:-1
92471:Sergio Perez:84:Evora:412155809:0:-1
92500:Nuno Venancio:80:Santarem:436512512:0:-1
92634:Alexandre Lourenco:76:Evora:423241329:0:-1
92670:Catarina Lima:77:Leiria:418720478:0:-1
92729:Rodrigo Reis:73:Porto:461075820:0:-1
92781:Dumitrita Binzaru:76:Setubal:438706041:0:-1
92815:Joana Relvas:84:Leiria:428235082:0:-1
92905:Tiago Castro:76:Evora:416219381:0:-1
92940:Tomas Lopes:84:Beja:429545942:0:-1
92995:Nuno Duarte:90:Braganca:438619242:0:-1
93000:Diogo Catarino:67:Evora:431490746:0:-1
93016:Joao Francisco:66:Setubal:410868755:0:-1
93021:Pedro Dias:88:Porto:421731705:0:-1
93034:Rodrigo Romeiro:76:Braganca:421301364:0:-1
93040:Ines Consolado:77:Setubal:421572940:0:-1
93043:Christopher Galvez:66:Braganca:418698553:0:-1
93052:David Antunes:66:Beja:413645421:0:-1
93196:Fabio Garrido:82:Lisboa:427482590:0:-1
93246:Joao Freire:65:Faro:415382041:0:-1
93263:Diogo Soares:73:Beja:464649531:0:-1
93321:Joao Melo:85:Braga:464747995:0:-1
93322:Telmo Fonte:67:Braga:411947597:0:-1
93335:Joao Raposo:89:Setubal:416544418:0:-1
93352:Ricardo Maruta:83:Beja:423323354:0:-1
93387:Filipe Torres:90:LocalidadeSemEnfermeiro:412210583:0:-1
93401:Tiago Matias:82:Lisboa:426207928:0:-1
93427:Miguel Andre:74:Braga:466634146:0:-1
93452:Alexandra Baltazar:84:Faro:421353580:0:-1
93509:Ruben Boloto:76:Braga:432007881:0:-1
93539:Yuran Mangane:75:LocalidadeSemEnfermeiro:429818424:0:-1
93563:Steicy Tavares:75:Faro:462130890:0:-1
93616:Andre Barbosa:79:Setubal:433296420:0:-1
93635:Antonio Mendes:67:Beja:428753694:0:-1
93830:Leandro Sousa:83:Lisboa:437608752:0:-1
93833:Marcos Vieira:84:Faro:433811811:0:-1
93868:Goncalo Taveira:90:Lisboa:410878222:0:-1
93923:Antonio Flor:85:Braga:416431966:0:-1
93928:Jose Silva:88:Faro:466467728:0:-1
93977:Manuel Veronica:66:Evora:426767630:0:-1
93997:Duarte Gruner:69:Braganca:435844817:0:-1
93998:Ahmed Mansour:68:Evora:460044768:0:-1
94093:Francisca Carolino:66:Porto:412145702:0:-1
94118:Filipe Silva:82:Beja:428668830:0:-1
94255:Mauro Fortes:67:Santarem:431269134:0:-1
94334:Jose Caldeira:81:Setubal:439959128:0:-1
94442:Paulo Melo:82:Santarem:460994333:0:-1
94448:Cesar Gomes:68:Porto:439564494:0:-1
94453:Tiago Silva:71:Lisboa:427377574:0:-1
94455:Jose Palmeiro:74:Lisboa:421736182:0:-1
94466:Diogo Costa:79:Santarem:429901024:0:-1
94481:Alexander Ferreira:84:Evora:469332024:0:-1
94494:Rui Duarte:83:Porto:466472679:0:-1
94514:Bruno Carvalheiro:79:Evora:460952241:0:-1
94531:Sofia Ferreira:89:Santarem:419795374:0:-1
94575:Daniel Loureiro:83:Lisboa:432689512:0:-1
94576:Joao Correia:72:Leiria:465444433:0:-1
94587:Nuno Monteiro:72:Beja:417190350:0:-1
94639:Ana Francisco:76:Lisboa:431417624:0:-1
94642:Nuno Pina:89:Porto:429310200:0:-1
94698:Carlos Claudio:85:Lisboa:432054950:0:-1
94729:Tiago Vieira:90:Porto:469801137:0:-1
94856:alvaro Horta:87:Lisboa:432697427:0:-1
95079:Djenabo Balde:77:Santarem:417860695:0:-1
95257:Alexandre Leitao:90:LocalidadeSemEnfermeiro:413129406:0:-1
95805:Marcio Fernandes:83:LocalidadeSemEnfermeiro:414651840:0:-1
95929:Daniela Martins:71:LocalidadeSemEnfermeiro:418717813:0:-1
95931:Diana Lopes:88:Braga:434869490:0:-1
95983:Alexandre Torres:74:Santarem:439216483:0:-1
96130:Jorge Poco:78:Lisboa:412948354:0:-1
